gc_orgID,name,harmonized_name
2306,cfia-acia,Canadian Food Inspection Agency
2286,cfp,Public Service Commission of Canada
2286,cfp-psc.gc.ca,Public Service Commission of Canada
2246,cgc,Canadian Grain Commission
2246,cgc-ccg,Canadian Grain Commission
3556,chaires recherche,Canada Research Chairs
2316,chaires-chairs.gc.ca,Social Sciences and Humanities Research Council of Canada
2316,chairs-chaires.gc.ca,Social Sciences and Humanities Research Council of Canada
3428,chambre communes,House of Commons
3458,charlottetown airport authority,Charlottetown Airport Authority Inc.
2271,chief electoral officer,Elections Canada
3582,chief military judge,Office of the Chief Military Judge
3611,chief science advisor,Office of the Chief Science Advisor of Canada
2318,chr,Polar Knowledge Canada
2247,chrc,Canadian Human Rights Commission
2247,chrc-ccdp,Canadian Human Rights Commission
2247,chrc-ccdp.gc.ca,Canadian Human Rights Commission
2281,ci,Office of the Information Commissioner of Canada
2275,ci-oic.gc.ca,Office of the Intelligence Commissioner
2224,cic,"Immigration, Refugees and Citizenship Canada"
2224,cic.gc.ca,"Immigration, Refugees and Citizenship Canada"
2248,cics,Canadian Intergovernmental Conference Secretariat
2248,cics-scic,Canadian Intergovernmental Conference Secretariat
2307,cihr,Canadian Institutes of Health Research
2307,cihr-irsc,Canadian Institutes of Health Research
2307,cihr-irsc.gc.ca,Canadian Institutes of Health Research
3537,cipo,Canadian Intellectual Property Office
2230,cirnac,Crown-Indigenous Relations and Northern Affairs Canada
2230,cirnac-rcaanc.gc.ca,Crown-Indigenous Relations and Northern Affairs Canada
2261,cisr,Immigration and Refugee Board of Canada
2261,cisr-irb.gc.ca,Immigration and Refugee Board of Canada
3685,citt-tcce.gc.ca,Canadian International Trade Tribunal
2290,civilian review complaints commission for rcmp,Civilian Review and Complaints Commission for the RCMP
2290,civilian review complaints commission for rcmp commission civile examen traitement plaintes relatives gendarmerie royale,Civilian Review and Complaints Commission for the RCMP
2290,civilian review complaints commission for royal canadian mounted police,Civilian Review and Complaints Commission for the RCMP
2267,clcc,Parole Board of Canada
2267,clcc-pbc.gc.ca,Parole Board of Canada
2274,clo,Office of the Commissioner of Official Languages
2274,clo-ocol.gc.ca,Office of the Commissioner of Official Languages
2272,cmf,Office of the Commissioner for Federal Judicial Affairs Canada
3631,cmhc-schl.gc.ca,Canada Mortgage and Housing Corporation
3448,cnlopb,Canada-Newfoundland and Labrador Offshore Petroleum Board
2313,cnrc,National Research Council Canada
2313,cnrc-nrc.gc.ca,National Research Council Canada
2308,cnsc,Canadian Nuclear Safety Commission
2308,cnsc-ccsn,Canadian Nuclear Safety Commission
2308,cnsc-ccsn.gc.ca,Canadian Nuclear Safety Commission
3459,coaching association,Coaching Association of Canada
2274,col,Office of the Commissioner of Official Languages
3590,college militaire royal,Royal Military College of Canada
3412,comite consultatif public mixte ccpm commission cooperation environnementale cce,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC)
2289,comite externe examen grc,RCMP External Review Committee
2263,comite externe examen griefs militaires,Military Grievances External Review Committee
2263,comite externe examen griefs militaires military grievances external review committee,Military Grievances External Review Committee
3698,comite organisation jeux olympiques paralympiques hiver 2010 vancouver,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games
3630,comite organisation jeux panamericains parapanamericains toronto 2015,Toronto Organizing Committee for the 2015 Pan American and Parapan American Games
3579,comite parlementaires sur securite nationale renseignement,National Security and Intelligence Review Agency
3559,commandement forces operations speciales,Canadian Special Operations Forces Command
2275,commissaire centre securite telecommunications,Office of the Intelligence Commissioner
3420,commissaire elections federales,Commissioner of Canada Election
2275,commissaire renseignement,Office of the Intelligence Commissioner
2275,commissaire renseignement intelligence commissioner,Office of the Intelligence Commissioner
3687,commissaire tribunaux revision,Office of the Commissioner of Review Tribunals
3430,commissariat conflits interets ethique,Office of the Conflict of Interest and Ethics Commissioner
2281,commissariat information,Office of the Information Commissioner of Canada
2279,commissariat integrite secteur public,Office of the Public Sector Integrity Commissioner of Canada
2279,commissariat integrite secteur public public sector integrity commissioner,Office of the Public Sector Integrity Commissioner of Canada
2274,commissariat langes officielles,Office of the Commissioner of Official Languages
2274,commissariat langues officielles,Office of the Commissioner of Official Languages
2274,commissariat langues officielles commissioner official languages,Office of the Commissioner of Official Languages
2273,commissariat lobbying,Office of the Commissioner of Lobbying of Canada
2273,commissariat lobbying commissioner lobbying,Office of the Commissioner of Lobbying of Canada
2272,commissariat magistrature federale,Office of the Commissioner for Federal Judicial Affairs Canada
2272,commissariat magistrature federale commissioner for federal judicial affairs,Office of the Commissioner for Federal Judicial Affairs Canada
2282,commissariat protection vie privee,Office of the Privacy Commissioner of Canada
2318,commission affaires polaires,Polar Knowledge Canada
3600,commission appel loi sur controle renseignements relatifs matieres dangereuses,"Appeal Board, Hazardous Materials Information Review Act"
3691,commission appel pensions,Pension Appeals Board
